template_id,branch,category,med_phys,med_math,med_ped,sigma_max,flags,grok-4.6_phys,grok-4.6_math,grok-4.6_ped,minimax-m3_phys,minimax-m3_math,minimax-m3_ped,mimo-v2.5-pro_phys,mimo-v2.5-pro_math,mimo-v2.5-pro_ped,grok-4.6_flag,minimax-m3_flag,mimo-v2.5-pro_flag,grok-4.6_conf,minimax-m3_conf,mimo-v2.5-pro_conf
template_lorentz_force,electrical_engineering,Pass,5,5,5,0.471,0,5,4,5,5,5,5,5,5,5,0,0,0,5,5,5
template_lowpass_equivalent_bandpass,electrical_engineering,Pass,5,5,4,0.471,0,5,4,4,5,5,4,5,5,5,0,0,0,5,5,5
template_manning_rectangular_discharge,civil_engineering,Pass,5,5,5,0.0,0,5,5,5,5,5,5,5,5,5,0,0,0,5,5,5
template_manning_trapezoidal_velocity,civil_engineering,Pass,5,5,5,0.0,0,5,5,5,5,5,5,5,5,5,0,0,0,5,5,5
template_max_hump_height_no_choking,civil_engineering,Pass,5,5,5,0.0,0,5,5,5,5,5,5,5,5,5,0,0,0,5,5,5
template_mean_variance,electrical_engineering,Pass,5,5,5,0.0,0,5,5,5,5,5,5,5,5,5,0,0,0,5,5,5
template_mm1_time_in_system,industrial_engineering,Pass,5,5,5,0.0,0,5,5,5,5,5,5,5,5,5,0,0,0,5,5,5
template_mm1k_finite_capacity,industrial_engineering,Pass,5,5,5,0.0,0,5,5,5,5,5,5,5,5,5,0,0,0,5,5,5
template_mmc_waiting_time,industrial_engineering,Pass,5,5,5,0.471,1,5,5,5,5,4,5,5,5,5,0,1,0,5,4,5
template_multi_segment_rod,mechanical_engineering,Pass,5,5,5,0.471,1,5,5,5,5,4,4,5,5,5,0,1,0,5,4,5
template_newsvendor_normal_demand,industrial_engineering,Pass,5,5,5,0.0,0,5,5,5,5,5,5,5,5,5,0,0,0,5,5,5
template_newtons_law_shear_stress,chemical_engineering,Pass,5,5,4,0.471,1,5,4,3,5,5,4,5,5,4,1,0,0,5,5,5
template_normal_depth_iteration,civil_engineering,Pass,5,5,5,0.0,0,5,5,5,5,5,5,5,5,5,0,0,0,5,5,5
template_null_to_null_bandwidth,electrical_engineering,Pass,4,5,5,0.471,0,4,5,5,4,5,5,5,5,5,0,0,0,5,5,5
template_nyquist_rate_determination,electrical_engineering,Pass,5,5,4,0.471,0,5,5,4,5,5,4,5,5,5,0,0,0,5,5,5
template_p_chart_limits_floor,industrial_engineering,Pass,5,5,5,0.0,0,5,5,5,5,5,5,5,5,5,0,0,0,5,5,5
template_particle_pathline,mechanical_engineering,Pass,5,5,5,0.0,0,5,5,5,5,5,5,5,5,5,0,0,0,5,5,5
template_pfr_volume_changing_rate,chemical_engineering,Controversial,5,5,4,0.816,1,5,5,3,5,5,4,5,5,5,1,0,0,5,5,5
template_phase_relations_degree_of_saturation,civil_engineering,Pass,5,5,5,0.0,0,5,5,5,5,5,5,5,5,5,0,0,0,5,5,5
template_phasor_addition,electrical_engineering,Pass,5,5,5,0.0,0,5,5,5,5,5,5,5,5,5,0,0,0,5,5,5
template_pitzer_correlation_z,chemical_engineering,Critical Failure,4,5,5,0.816,2,3,5,5,4,4,4,5,5,5,1,1,0,4,4,5
template_poisson_event_count,industrial_engineering,Pass,5,5,5,0.0,0,5,5,5,5,5,5,5,5,5,0,0,0,5,5,5
template_poissons_ratio,mechanical_engineering,Controversial,5,5,5,0.943,1,3,5,5,5,5,5,5,5,5,1,0,0,5,5,5
template_power_law_fluid_shear,chemical_engineering,Critical Failure,5,5,3,0.943,2,3,5,3,5,5,4,5,5,3,1,0,1,5,5,5
template_primary_consolidation_settlement,civil_engineering,Pass,5,5,5,0.0,0,5,5,5,5,5,5,5,5,5,0,0,0,5,5,5
template_qr_policy_one_iteration,industrial_engineering,Pass,5,5,5,0.0,0,5,5,5,5,5,5,5,5,5,0,0,0,5,5,5
template_quantity_discount_all_units,industrial_engineering,Pass,5,5,5,0.0,0,5,5,5,5,5,5,5,5,5,0,0,0,5,5,5
template_rackett_equation_volume,chemical_engineering,Pass,5,5,5,0.471,0,5,4,4,5,5,5,5,5,5,0,0,0,4,5,5
template_rational_method_peak_flow,civil_engineering,Pass,5,5,5,0.0,0,5,5,5,5,5,5,5,5,5,0,0,0,5,5,5
template_relative_density_of_sand,civil_engineering,Pass,5,5,5,0.0,0,5,5,5,5,5,5,5,5,5,0,0,0,5,5,5
template_reorder_point_lead_time,industrial_engineering,Pass,5,5,4,0.471,0,5,5,4,5,5,4,5,5,5,0,0,0,5,5,5
template_reynolds_number_flow_regime,chemical_engineering,Controversial,5,5,5,0.943,1,5,5,4,5,5,5,5,3,5,0,0,1,5,5,4
template_rotating_unbalance,mechanical_engineering,Pass,5,5,5,0.0,0,5,5,5,5,5,5,5,5,5,0,0,0,5,5,5
template_safety_stock_reorder_point,industrial_engineering,Pass,5,5,5,0.471,0,5,5,5,5,5,4,5,5,5,0,0,0,5,5,5
template_scs_curve_number_runoff,civil_engineering,Pass,5,5,5,0.471,0,5,5,5,5,5,4,5,5,5,0,0,0,5,5,5
template_sensible_heat_constant_cp,chemical_engineering,Pass,5,5,5,0.0,0,5,5,5,5,5,5,5,5,5,0,0,0,5,5,5
template_sensible_heat_temp_dependent_cp,chemical_engineering,Pass,5,5,5,0.0,0,5,5,5,5,5,5,5,5,5,0,0,0,5,5,5
template_server_configuration_selection,industrial_engineering,Critical Failure,5,5,4,0.471,2,5,5,4,5,5,4,5,5,3,0,1,1,5,5,5
template_shaft_design_power,mechanical_engineering,Pass,5,5,5,0.0,0,5,5,5,5,5,5,5,5,5,0,0,0,5,5,5
template_shear_stress_torsion,mechanical_engineering,Pass,5,5,5,0.471,0,4,5,5,5,5,4,5,5,5,0,0,0,5,4,5
template_sigma_reduction_for_cpk,industrial_engineering,Pass,5,5,5,0.471,0,5,5,5,5,5,5,5,5,4,0,0,0,5,5,5
template_signal_energy_power,electrical_engineering,Pass,5,5,5,0.0,0,5,5,5,5,5,5,5,5,5,0,0,0,5,5,5
template_signal_operations,electrical_engineering,Critical Failure,5,5,4,0.943,2,5,3,3,5,5,4,5,5,5,1,1,0,5,4,5
template_single_sampling_oc_point,industrial_engineering,Pass,5,5,5,0.0,0,5,5,5,5,5,5,5,5,5,0,0,0,5,5,5
template_slope_deflection_end_moment,civil_engineering,Pass,5,5,5,0.0,0,5,5,5,5,5,5,5,5,5,0,0,0,5,5,5
template_standing_wave_formation,electrical_engineering,Pass,5,5,5,0.0,0,5,5,5,5,5,5,5,5,5,0,0,0,5,5,5
template_statically_indeterminate,mechanical_engineering,Pass,5,5,5,0.471,0,4,5,5,5,5,5,5,5,5,0,0,0,5,5,5
template_statically_indeterminate_shaft,mechanical_engineering,Pass,5,5,5,0.471,0,4,5,5,5,5,5,5,5,5,0,0,0,5,5,5
template_superposition_electric_field,electrical_engineering,Pass,5,5,4,0.471,0,5,5,4,5,5,4,5,5,5,0,0,0,5,5,5
template_system_properties,mechanical_engineering,Pass,5,5,5,0.0,0,5,5,5,5,5,5,5,5,5,0,0,0,5,5,5
template_system_properties_memory_causality,electrical_engineering,Pass,5,5,5,0.0,0,5,5,5,5,5,5,5,5,5,0,0,0,5,5,5
template_system_property_linearity,electrical_engineering,Pass,5,5,5,0.0,0,5,5,5,5,5,5,5,5,5,0,0,0,5,5,5
template_system_reliability_topology,industrial_engineering,Pass,5,5,5,0.0,0,5,5,5,5,5,5,5,5,5,0,0,0,5,5,5
template_takt_time_line_efficiency,industrial_engineering,Pass,5,5,5,0.0,0,5,5,5,5,5,5,5,5,5,0,0,0,5,5,5
template_terzaghi_strip_footing_bearing,civil_engineering,Pass,5,5,5,0.471,1,5,5,5,5,4,4,5,5,5,0,1,0,5,4,5
template_time_rate_of_consolidation,civil_engineering,Pass,5,5,5,0.0,0,5,5,5,5,5,5,5,5,5,0,0,0,5,5,5
template_time_to_phasor,electrical_engineering,Pass,5,5,5,0.471,0,5,4,4,5,5,5,5,5,5,0,0,0,5,4,5
template_truss_method_of_joints,civil_engineering,Controversial,5,5,4,0.816,1,5,5,3,5,5,4,5,5,5,1,0,0,4,5,5
template_truss_method_of_sections,civil_engineering,Pass,5,5,5,0.0,0,5,5,5,5,5,5,5,5,5,0,0,0,5,5,5
template_two_phase_specific_volume,chemical_engineering,Pass,5,5,5,0.471,0,5,5,5,5,5,4,5,5,5,0,0,0,5,5,5
template_two_state_steady_state,industrial_engineering,Pass,5,5,5,0.0,0,5,5,5,5,5,5,5,5,5,0,0,0,5,5,5
template_two_step_transition_probability,industrial_engineering,Pass,5,5,5,0.0,0,5,5,5,5,5,5,5,5,5,0,0,0,5,5,5
template_undamped_natural_frequency_torsional,mechanical_engineering,Pass,5,5,5,0.471,0,5,4,4,5,5,5,5,5,5,0,0,0,4,5,5
template_undamped_natural_frequency_translational,mechanical_engineering,Controversial,5,5,5,0.943,1,5,3,5,5,5,5,5,5,5,1,0,0,5,5,5
template_undamped_response_initial_conditions,mechanical_engineering,Pass,5,5,5,0.471,0,5,5,5,5,5,4,5,5,5,0,0,0,5,4,5
template_upward_seepage_quick_condition,civil_engineering,Pass,5,5,5,0.0,0,5,5,5,5,5,5,5,5,5,0,0,0,5,5,5
template_utube_manometer,mechanical_engineering,Pass,4,5,4,0.471,0,4,5,4,4,5,4,5,5,5,0,0,0,5,5,5
template_vdw_solve_for_pressure,chemical_engineering,Pass,5,5,5,0.0,0,5,5,5,5,5,5,5,5,5,0,0,0,5,5,5
template_vdw_solve_for_volume,chemical_engineering,Pass,5,5,4,0.471,0,5,5,4,5,5,4,5,5,5,0,0,0,5,5,5
template_vibration_isolator_design,mechanical_engineering,Pass,5,5,5,0.0,0,5,5,5,5,5,5,5,5,5,0,0,0,5,5,5
template_vibration_transmissibility,mechanical_engineering,Pass,5,5,5,0.0,0,5,5,5,5,5,5,5,5,5,0,0,0,5,5,5
template_virtual_work_truss_deflection,civil_engineering,Pass,5,5,5,0.0,0,5,5,5,5,5,5,5,5,5,0,0,0,5,5,5
template_volumetric_flow_rate,mechanical_engineering,Pass,5,5,5,0.471,0,5,4,5,4,5,4,5,5,5,0,0,0,5,5,5
template_vorticity_check,mechanical_engineering,Pass,5,5,4,0.471,0,5,5,4,5,5,4,5,5,5,0,0,0,5,5,5
template_wave_equation_interpretation,electrical_engineering,Critical Failure,5,4,3,0.943,3,5,3,5,5,4,3,5,5,3,1,1,1,5,5,5
template_wave_parameters_basic,electrical_engineering,Pass,5,4,4,0.471,1,5,4,4,5,4,4,5,5,5,0,1,0,4,4,5
template_work_isothermal_virial,chemical_engineering,Critical Failure,4,3,4,0.943,2,3,3,4,4,3,4,5,5,5,1,1,0,4,4,5
template_xbar_known_sigma_classification,industrial_engineering,Pass,5,5,5,0.0,0,5,5,5,5,5,5,5,5,5,0,0,0,5,5,5
template_xbar_r_control_limits,industrial_engineering,Pass,5,5,5,0.0,0,5,5,5,5,5,5,5,5,5,0,0,0,5,5,5
